title,handle,tags,image_main,image_1,image_2,image_3,design_1,design_2,design_3,product_type,shop,preview_main,preview_1,preview_2,preview_3
German Shorthaired Pointer Colorful Ballons Plastic Car Hanging Ornament,german-shorthaired-2-chor,"dog, german shorthaired pointer,",https://trello-attachments.s3.amazonaws.com/60c714a9793cd250c8360fc7/60d6e97cb0debe06a25232bd/fc7c2e0422387f00308b9e8bb13e7558/1071_German_Shorthaired_Pointer_Ornament_Car_Mockup.png,,,,https://trello-attachments.s3.amazonaws.com/60c714a9793cd250c8360fc7/60d4666b83a8868cc2ef906b/080dc3d92c91c7d0a2003407777c1168/1071_German_Shorthaired_Pointer_Ornament_Car.png.png,,,Car Hanging Ornament,thirdfloor,,,,
German Shorthaired Pointer Angel Wings And Hang On Plastic Car Hanging Ornament,german-shorthaired-3-chor,"dog, german shorthaired pointer,",https://trello-attachments.s3.amazonaws.com/60c714a9793cd250c8360fc7/60d6e97cb0debe06a25232bd/6c8cbfcbbbb200ab80a7c5d0ff0bb8aa/1072_German_Shorthaired_Pointer_Ornament_Car_Mockup.png,,,,https://trello-attachments.s3.amazonaws.com/60c714a9793cd250c8360fc7/60d4666b83a8868cc2ef906b/745ba2ea3b77e956720319dc0a6ae5ab/German_Shorthaired_Pointer_Ornament_Car.png,,,Car Hanging Ornament,thirdfloor,,,,
German Shepherd Get In Sit Down Shut Up And Hang On Plastic Car Hanging Ornament,german-shepherd-chor,"dog, German Shepherd,",https://trello-attachments.s3.amazonaws.com/60c714a9793cd250c8360fc7/60d6e97cb0debe06a25232bd/73c974c0ab23b64a77df92099ed731e2/1069_German_Shepherd_Ornament_Car_Mockup.png,,,,https://trello-attachments.s3.amazonaws.com/60c714a9793cd250c8360fc7/60d6afe3c7df001f43fd6eb8/e8d9b05ae7446163c11b57d3024b7852/German_Shepherd_Ornament_Car.png,,,Car Hanging Ornament,thirdfloor,,,,
German Shorthaired Pointer Yellow Tribal Pattern Hawaii Shirt,german-shorthaired-1074-1,"dog, german shorthaired pointer,",https://trello-attachments.s3.amazonaws.com/60c714a9793cd250c8360fc7/60d6e97cb0debe06a25232bd/f9d0fd0de8a5fd48c47cbd1c76dde209/1074-1_German_Shorthaired_Pointer_Front.jpg,https://trello-attachments.s3.amazonaws.com/60c714a9793cd250c8360fc7/60d6e97cb0debe06a25232bd/de214b77cddf815ab903d77d34537832/1074-1_German_Shorthaired_Pointer_Back.jpg,,,https://trello-attachments.s3.amazonaws.com/60c714a9793cd250c8360fc7/60d6afe3c7df001f43fd6eb8/1780f252c346267a2395684807ce5521/German_shorthaired_pointer_New_1.jpg,,,Hawaii Shirt,thirdfloor,,,,
German Shorthaired Pointer Blue Tribal Pattern Hawaii Shirt,german-shorthaired-1074-2,"dog, german shorthaired pointer,",https://trello-attachments.s3.amazonaws.com/60c714a9793cd250c8360fc7/60d6e97cb0debe06a25232bd/7622d02d6e01d76775c611eb28c7017b/1074-2_German_Shorthaired_Pointer_Front.jpg,https://trello-attachments.s3.amazonaws.com/60c714a9793cd250c8360fc7/60d6e97cb0debe06a25232bd/54e7d09b7b4c2bba9ebfe3cf73b7df44/1074-2_German_Shorthaired_Pointer_Back.jpg,,,https://trello-attachments.s3.amazonaws.com/60c714a9793cd250c8360fc7/60d6afe3c7df001f43fd6eb8/2a2b912d6478b822e0d7e9c192eca912/German_shorthaired_pointer_New_2.jpg,,,Hawaii Shirt,thirdfloor,,,,
German Shorthaired Pointer Red Tribal Pattern Hawaii Shirt,german-shorthaired-1074-3,"dog, german shorthaired pointer,",https://trello-attachments.s3.amazonaws.com/60c714a9793cd250c8360fc7/60d6e97cb0debe06a25232bd/b95fd5e3b333d0ce392c9a679bfb8db3/1074-3_German_Shorthaired_Pointer_Front.jpg,https://trello-attachments.s3.amazonaws.com/60c714a9793cd250c8360fc7/60d6e97cb0debe06a25232bd/bdd87f21c3ab5031e66fa17d72a4b498/1074-3_German_Shorthaired_Pointer_Back.jpg,,,https://trello-attachments.s3.amazonaws.com/60c714a9793cd250c8360fc7/60d6afe3c7df001f43fd6eb8/3ba3f930d6b36c2fc02d019015bc1e3a/German_shorthaired_pointer_New_3.jpg,,,Hawaii Shirt,thirdfloor,,,,
German Shorthaired Pointer Watercolor Hawaii Shirt,german-shorthaired-1076,"dog, german shorthaired pointer,",https://trello-attachments.s3.amazonaws.com/60c714a9793cd250c8360fc7/60d6e97cb0debe06a25232bd/a689d7d9268a5102966faec428b7ea47/1076_German_Shorthaired_Pointer_Front.jpg,https://trello-attachments.s3.amazonaws.com/60c714a9793cd250c8360fc7/60d6e97cb0debe06a25232bd/b1a729b3266e0ce0d72fadc80d0abc78/1076_German_Shorthaired_Pointer_Back.jpg,,,https://trello-attachments.s3.amazonaws.com/60c714a9793cd250c8360fc7/60d6afe3c7df001f43fd6eb8/b902a38a7a366adfe6da70c031453417/1076_German_Shorthaired_Pointer_Watercolor.jpg,,,Hawaii Shirt,thirdfloor,,,,
German Shorthaired Pointer BW Pattern Hawaii Shirt,german-shorthaired-1078,"dog, german shorthaired pointer,",https://trello-attachments.s3.amazonaws.com/60c714a9793cd250c8360fc7/60d6e97cb0debe06a25232bd/7a14d0920af2f6d5792750b36c424ded/German_Shorthaired_Pointer_1078_Front.jpg,https://trello-attachments.s3.amazonaws.com/60c714a9793cd250c8360fc7/60d6e97cb0debe06a25232bd/656190842828038115ade2b32d104556/German_Shorthaired_Pointer_1078_Back.jpg,,,https://trello-attachments.s3.amazonaws.com/60c714a9793cd250c8360fc7/60d6afe3c7df001f43fd6eb8/e01102d03fcfe169b7c13063edcdeac9/German_shorthaired_pointer_New.jpg,,,Hawaii Shirt,thirdfloor,,,,
Rottweiler BW Pattern Hawaii Shirt,rottweiler-1079,"dog, rottweiler,",https://trello-attachments.s3.amazonaws.com/60c714a9793cd250c8360fc7/60d6e97cb0debe06a25232bd/e873c3e43f8b060a6a6b46176e0b7b22/Rottweiler_1079_Front.jpg,https://trello-attachments.s3.amazonaws.com/60c714a9793cd250c8360fc7/60d6e97cb0debe06a25232bd/418f1495aa9b5553a922cd8749d5acde/Rottweiler_1079_Back.jpg,,,https://trello-attachments.s3.amazonaws.com/60c714a9793cd250c8360fc7/60d6afe3c7df001f43fd6eb8/0450c74de51a2386065cb3985a775000/1079_Rottweiler_BW.jpg,,,Hawaii Shirt,thirdfloor,,,,
